Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Service Advisor,"Basti, Uttar Pradesh",Full Time,Service centre Department,23-Apr,5,5,5,5,5,5,5,"It is a matter of pride for me to work in Tata Motors, I have learned a lot from it.",No
Mechanical Engineer,"New Delhi, Delhi",Full Time,Sound / Light / Technical Support Department,03-May-23,3,4,5,3,5,4,3,Good company tata motors and like tha tata motors company,No
Department Head   (working remotely),,Contractual,"Operations, Maintenance & Support Department",03-Jul-23,5,5,5,5,5,5,5,Very nice cook your thank you homework 👌👌👌👌👌👌👌,Kuch nahi
Mechanical Technician   (working remotely),,Full Time,Corporate Communication Department,06-May-23,3,4,3,4,1,3,3,Every time good,I don't know
Cnc Operator,New Delhi,Full Time,"BFSI, Investments & Trading Department",06-May-23,5,4,5,5,5,5,4,Employes halth and safety,No reason
TATA Motors Sales Employe,"Muzaffarnagar, Uttar Pradesh",Full Time,Sales Support & Operations Department,23-Apr,4,4,3,4,2,4,2,Tata motors is very good company,Behaviour very poor
Sr. Manager Er,Lucknow,Full Time,Employee Relations Department,03-Apr-23,5,5,4,4,5,4,3,"Brand Name 
Work life balance
Company Culture",Location
Sales Executive,New Delhi,Full Time,Retail & B2C Sales Department,01-May-23,5,5,5,4,5,5,3,Very good environment and culture.,Growth is slow.
Iti Machinist,Pune,Full Time,"Operations, Maintenance & Support Department",23-Apr,5,5,5,5,5,5,5,👍 Lalit Kumar,No never/ my dream I have been working with tata motors
"Vehicle Module Leader, TMPVL, Electric Vehicle, Connected Cars","Pune, Maharashtra",Full Time,Engineering & Manufacturing Department,23-Apr,1,3,3,1,1,1,1,Tata cultural values,No growth in Engineering and technology area. Lots of politics at middle management
Senior Engineer Ii,Bengaluru/Bangalore,Full Time,SCM & Logistics Department,01-Apr-23,5,5,3,5,5,4,4,Everything about Tata group companies,Nothing about Tata group companies
Workshop Manager,Jamshedpur,Full Time,After Sales Service & Repair Department,08-Aug-23,5,5,5,5,5,5,5,Liked best company  best support,No comments
Electrical Technician,"Ambernath, Maharashtra",Full Time,Operations Department,04-Jan-23,4,4,4,3,4,4,4,Good features  & new innovation of passengers cars,"I'm disappointed of work because, I was requesting of passengers cars faults any product parts"
Line Engineer Trainee,"Ahmedabad, Gujarat",Full Time,"Operations, Maintenance & Support Department",01-Apr-23,5,5,5,4,5,5,5,Good  tata motors,Good Tata motors
No Job,"Seoni, Madhya Pradesh",Part Time,Other Department,06-Jul-23,5,5,5,5,5,5,5,"i like you
This company","🖕🏼
I am ravi"
B Tech First Year Student    (working remotely),,Freelancer,Retail & B2C Sales Department,06-Jul-23,4,5,5,5,5,5,4,I like Tata motors,No anyone
Iti Electrician,Jamshedpur,Full Time,"Operations, Maintenance & Support Department",05-May-23,1,1,1,1,1,1,1,Tata motors company iti electrician job,Ok
Electrician,Pune,Contractual,Production & Manufacturing Department,02-Jun-23,5,4,5,2,3,3,2,Quality,"Pressure and irritating permanent staff,less salary for temporary workers and and no respect for temporary workers"
Senior Manager-operations,Pune,Full Time,Production & Manufacturing Department,05-Feb-23,3,2,3,3,5,3,2,Only the brand name Tata Motors nothing else,"No work life balance
Work culture is pathetic 
Biasedness everywhere"
Fainens,"Varanasi, Uttar Pradesh",Full Time,Back Office Department,05-Jun-23,1,5,4,4,5,4,5,Tata motors is good work,No Comment
Assistant Manager,"Pimpri-Chinchwad, Maharashtra",Full Time,Production & Manufacturing Department,07-Oct-22,2,3,1,1,4,2,1,"Secure job, good health insurance for employee,","Poor salary structure, no salary standard, no scope of promotion, very slow growth, you will get average rating here, responsibilities are not properly defined, you won't find any systematic apporach to solve the issue"
Senior Manager Customer Support,"Patna, Bihar",Full Time,Engineering Department,08-Jan-23,4,3,4,4,5,4,4,"Good team, cross functional learning opportunity in  every 3 year",Job in customer support is engaging round the clock.
Executive,"Pune, Maharashtra",Full Time,Production & Manufacturing Department,08-Aug-22,2,4,4,4,1,4,2,"Culture, and management is good.","Poor policy about making employees permanent!!! 
Worst experience. Worked here for 5 years with full dedication but they only permanent people's who passed from Government colleges 🤦‍♂️
Worst policy we are studied same syllabus we worked same then why this Parcility 😇
Very disappointed with this👎👎👎"
Welder   (working remotely),,Full Time,Hardware Department,02-Jul-23,5,3,4,3,3,5,3,Group work in the team,Angri work in the team
Senior Manager,Pune,Full Time,Engineering & Manufacturing Department,01-Feb-23,5,3,3,4,5,4,3,it is a good company to work.,No work life balance. Had to come on alternate saturdays.
Senior Manager,Jamshedpur,Full Time,Operations Department,23-May,4,3,4,3,4,4,2,Skill development,Quota system in appraisal
Hr Recruitment Assistant,Pune,,Recruitment & Talent Acquisition Department,09-Apr-23,5,4,3,4,5,4,3,Tata motors job is nice work & seniors of job,Got working experience and understood how much responsibility to do while working
CXM( Customer Experience Manager,"Ranchi, Jharkhand",Full Time,Customer Success Department,23-Jan,5,5,4,3,4,5,5,"Good environment, Tata is Indian brand so i will obviously involve myself to preserve it as my heritage.",Salary is not acceptable according to the work.
Selas,"Dindori, Madhya Pradesh",Full Time,Retail & B2C Sales Department,06-Jul-23,3,3,2,2,2,3,1,tata products with,dealership culture
Worker   (working remotely),,Part Time,Accounting & Taxation Department,02-Jun-23,5,5,5,5,5,5,5,I am fresher with all work management,Ok
Senior Manager Finance,Jamshedpur,Full Time,Finance Department,23-Jan,3,2,3,4,5,4,3,Salary and Job security!,"Work life balance, growth and development opportunity so less!"
Technician,"Jamshedpur, Jharkhand",Full Time,"Operations, Maintenance & Support Department",01-Mar-23,3,2,5,1,4,4,1,"SDT PROGRAM
SAFETY 
alternate Shift job",Payment should be better.
Senior Technician   (working remotely),,Full Time,Operations Department,04-Mar-23,5,5,5,5,5,5,5,"I loved working in Tata Motors, I didn't want to leave but the salary is not acceptable","I loved working in Tata Motors, I didn't want to leave but the salary is not acceptable"
Body Shop Manager,"Lucknow, Uttar Pradesh",Full Time,After Sales Service & Repair Department,08-May-23,5,5,5,5,5,5,5,Great job in the world,No problem for employees
Apprentice Trainee   (working remotely),,Full Time,Production & Manufacturing Department,06-Jun-23,5,5,5,5,3,5,5,I am like Environment .,I am not like Management
Territory Sales Manager,"Guwahati, Assam",Full Time,Marketing Department,23-Jan,5,5,4,4,4,2,2,All good except company internal politics,"Hard to get promotion, rest all good"
Dt Engineer,Pune,Full Time,Quality Assurance and Testing Department,05-Apr-23,4,4,4,3,3,5,3,Working culture best.,Salary Increment don't increase.
Executive Engineer,Pune,Contractual,Production & Manufacturing Department,02-May-23,2,2,1,3,1,1,2,Nothing to like.,Company internal politics.
Senior Executive Taxation   (working remotely),,Part Time,Other Department,04-Jul-23,5,5,5,5,5,5,5,Iam like this job,"No issues
Iam very  slow"
Spare Parts Coordinator,"Lucknow, Uttar Pradesh",Full Time,Sales Support & Operations Department,09-Sep-23,4,3,5,4,5,4,3,The culture here is very good and it is a good platform for learning.,nothing
Assistant Manager,"Dharwad, Karnataka",Full Time,Production & Manufacturing Department,07-Feb-23,4,3,3,4,5,3,2,Good Working environment for learning for professional and personal.,Nothing
Senior Manager,Pune,Full Time,Engineering Department,08-May-23,5,5,5,5,5,5,4,"Job security and work life balance
Excellent opportunity to learn",Nothing much to dislike
Sales Executive,"Mumbai, Maharashtra",Full Time,Sales Support & Operations Department,04-Jun-23,4,4,4,4,4,4,4,Everything is good,Not at all
Service Advisor,"Patna, Bihar",Full Time,"BFSI, Investments & Trading Department",06-Apr-23,4,4,3,2,2,2,3,Good person to tata motors,Not so good to working in manager
Helper,"Pune, Maharashtra",Part Time,Back Office Department,03-Apr-23,5,5,5,5,5,5,5,I like the company for sallary silp sand mee and bes company,I like the company for tata motors for sallary silp and company faslity is best
Senior Manager,"Guwahati, Assam",Full Time,Software Development Department,08-Mar-23,4,4,5,4,5,5,4,I CAN IMPROVE MY SKILL AND KNOWLEDGE,WORK LIFE BALANCE ISSUE
Formulation Scientist   (working remotely),,Part Time,Pharmaceutical & Biotechnology Department,05-May-23,1,2,5,2,5,5,5,I like this work,Nothing's to say I ll good
Senior Manager Project Management,Pune,Full Time,Product Management - Technology Department,06-Jan-23,4,4,3,2,4,2,2,"Equality and harmony between people.
Ratan Tata Sahab","Poor Management
No Salary Standard 
Few freshers have more compensation than the Experienced ones."
Team Manager,Mumbai,Full Time,Operations Department,02-Sep-23,2,2,4,3,4,4,4,tata is a good company,tata is an old company
Engineer,Pune,Full Time,Engineering & Manufacturing Department,08-Mar-23,5,5,5,3,5,5,3,Learning new technology,Need to change & policy in IJP
Senior Manager,"Jamshedpur, Jharkhand",Full Time,Engineering & Manufacturing Department,06-Dec-22,4,5,4,4,5,5,4,The TATA culture...No boundry for learning. You can go anywhere inside the plant premises to learn.,Too long working hours for offices
Manager Vehicle Assembly Process And Production Management,"Pantnagar, Uttarakhand",Full Time,"Operations, Maintenance & Support Department",06-Jun-23,5,4,5,5,5,4,4,Good place to work,Flat hierarchy
Sales Advisor,"Bhilai Nagar, Chhattisgarh",Full Time,Operations Support Department,08-May-23,5,5,5,5,5,5,5,Overall good experience.,No major area.
Iti Machinist,Pantnagar,Part Time,Operations Department,03-Mar-23,3,3,5,2,4,5,3,Nice working experience  tata moters job..in pantnager,Not comments
Field Sales Officer,"Allahabad/Prayagraj, Uttar Pradesh",Full Time,After Sales Service & Repair Department,06-Mar-23,5,5,5,5,5,5,5,The culture here is great.,There is nothing like here this.
Assembly Operator   (working remotely),,Full Time,Quality Assurance and Testing Department,23-Jun,5,5,5,5,5,5,5,Tata is a great company,Ji
Diploma Mechanical Engineer   (working remotely),,Part Time,"BFSI, Investments & Trading Department",06-Jun-23,4,3,3,4,3,4,4,Good quality,Salary less worker
Senior Manager,Pune,Full Time,Engineering Department,07-May-23,4,4,4,3,5,4,2,job profile,salary is not as per market.
Senior  Manager,"Patna, Bihar",Full Time,Retail & B2C Sales Department,07-Jun-23,4,4,3,3,3,4,4,All good ....,Nothing..as such.
Junior Detailer   (working remotely),,Full Time,Engineering & Manufacturing Department,04-Jun-23,5,5,3,5,5,4,5,Looking for. Wo rker,Di n
Senior Manager,Pune,Full Time,Engineering Department,09-Feb-23,4,5,3,1,5,5,2,Work kife balance and facilities,Policy is there for salary but it is not followed
Service Engineer,New Delhi,Freelancer,"Operations, Maintenance & Support Department",06-Jun-23,1,1,1,1,1,5,1,Just nothing chill guys i,Just everything chill guys i
General Manager Hr,Dharwad,Full Time,HR Operations Department,05-Dec-22,5,5,5,5,5,5,5,"Employee friendly organization.
Excellent work culture.
Great business ethics.
No one can match TATA CULTURE.",Nothing specific
Senior Manager Customer Care,"New Delhi, Delhi",Full Time,After Sales Service & Repair Department,01-Jan-23,3,2,4,3,3,2,2,Just a banner,"Apart from above, specially the FMS is not at all a good place to work. One, who is a good butterer can only survive and YES SIR culture is very prominent in FMS. One has to work there for 24×7"
Design Engineer,Pune,Full Time,Engineering Department,07-Apr-23,5,5,5,4,5,5,4,I like to the avry company Discipline,Time waste . Company's profit
Helper   (working remotely),,Full Time,Security Officer Department,03-Jun-23,5,5,5,5,5,5,5,Food and room,Food and room
Civil Site Engineer,Bikaner Rajasthan,Contractual,Construction Engineering Department,02-Jan-23,1,1,1,1,1,1,1,Very bad management and alot politics,Very bad management and alot of politics here
Senior Integration Engineer,Pune,Full Time,Engineering & Manufacturing Department,09-May-23,3,3,2,3,4,2,3,Time passes,"- working in shifts and 6 days of working 
- terrible PLM software 
- no Agile Product management approach, many things needs to be done just for the sake of doing and mostly the value addition to end product if low and not efficient 
- Language : you need to know Marati language if you are joining in Pune area, if you do not know then surviving will be difficult, team discussions and other discussion will happen in Marati and even if you don’t know the language still people won’t prefer to use common language. So you are on you own. 
- You have to follow what you have been told to do and should not think or ask reasoning questions 
- Ego at all levels and no fair approach 
- heavily biased in all aspects 
- will not have a good learning experience unless you have some opportunity 
-nano management of boss and other people
-average food...Read More"
Senior Manager,Pune,Full Time,Finance Department,05-Feb-23,4,4,3,3,5,3,2,Work life-brand value- employee policy,Old school culture-low salary
Production Operator,Sanand GIDC,Full Time,Production Department,02-Aug-23,5,2,3,2,3,3,4,"The management of Tata Motors is good, our workers of Tata Motors give full support",don't like working in my company
Deputy Manager,"Ahmedabad, Gujarat",Full Time,Doctor Department,08-May-23,5,5,5,5,5,5,5,Everything over here,Nothing specific
Customer Service Manager,Pune,Full Time,After Sales Service & Repair Department,08-May-23,5,5,4,5,5,4,4,Over all good,Nothing dislike
Customer Adviser,"Hyderabad/Secunderabad, Telangana",Full Time,Retail & B2C Sales Department,23-Jan,3,4,4,1,1,3,2,Tata motors name,"Did kyc of icici prepaid cards for incentive, till now no amount in account till 202January"
Mechanic,"Lakhnadon, Madhya Pradesh",Full Time,Construction / Manufacturing Department,01-Mar-23,5,5,5,5,5,5,5,Baha pr work karna achha h,हफ्ते में 1 भी leave nhi milti hai ye achha nhi h Baha
Senior Service Advisor,"Guwahati, Assam",Full Time,Service Delivery Department,06-Apr-23,5,5,5,5,4,5,5,World best service provider in passanger car,No
Customer Relationship Officer,"Gorakhpur, Uttar Pradesh",Full Time,"BFSI, Investments & Trading Department",07-Jan-23,5,5,5,5,5,5,5,"Every thing is good, & most important Tata company is indian company",I don't know
Senior Service Advisor,"Angul, Odisha",Full Time,Engineering Department,07-Jul-23,5,5,5,5,5,5,5,Job security is best.,Good
Sales Coordinator,Pimpari.,Full Time,Sales Department,05-Aug-22,4,4,4,4,4,5,3,All seniors treat juniors well. The environment at Tata Motors is always friendly. There is no pressure to complete the work.,"Even after working for more years, it is not possible to become permanent when there is growth in the designation. Seniors do not aim for the promotion of juniors, they only use it for work."
Claims Executive,Vijaypur Jammu And Kashmir,Full Time,Back Office Department,05-Mar-23,5,4,5,3,4,5,4,I love it because backend team is good,Tata motors Pvt every year change potal
Senior Manager,"Pantnagar, Uttarakhand",Full Time,Engineering Department,07-Feb-23,3,5,2,2,5,3,2,Work Life Balance & Job Security.,"No criteria for promotion, Appraisal & progression."
Customer Relationship Manager,Orisa,Full Time,Customer relationship manager  Department,01-Jul-23,5,5,5,5,5,5,5,I like my company,Nothing dislike
Automobile Technica    (working remotely),,Full Time,Technically  Department,22-Jul,5,5,5,5,5,5,5,"Good communication skills with customer, and good communication skill with team, and good work environment and culture, good support for teammates and management, company policies are good and good salary hike and bonus every year.",There is a lot politics and the management doesn't address our issues. Salary is decent but career growth is slow. There is a bond of 2 years before which you cannot resing. Onthe job training is not given to new joiners
Assembly Fitter,"Coimbatore, Tamil Nadu",Full Time,"Operations, Maintenance & Support Department",05-Apr-23,5,5,5,5,5,5,5,Yes I am interested tata motors working,No
Electrical Supervisor,"Hosur, Tamil Nadu",Full Time,"Operations, Maintenance & Support Department",04-Jun-23,5,5,5,5,5,5,5,Future modification in company,No depression
Senior Manager,Pune,Full Time,Engineering & Manufacturing Department,02-May-23,5,5,5,5,5,5,4,Work life balance too good.,No complaints.
Senior Manager,Bangalore,Full Time,BD / Pre Sales Department,07-Apr-23,4,4,3,4,5,3,1,Employee Perks,Old fashioned single hand dominating management
Workshop Manager,"Kharagpur, West Bengal",,After Sales Service & Repair Department,04-Jun-23,2,2,3,3,1,1,1,Not recommended to anyone,Bad work culture
Lead Associate,"Jodhpur, Rajasthan",Full Time,Power Generation Department,04-Jan-23,4,4,5,4,5,4,4,"Job security
Promotion
Internal job posting",Work life and  time table
Senior Manager - Territory Sales Manager,"Guwahati, Assam",Full Time,Enterprise & B2B Sales Department,01-Mar-23,5,5,4,5,5,5,4,Good Work environment. Good perks.,Too many system process
Data Entry Operator,Jamshedpur,Full Time,Back Office Department,04-May-23,3,3,4,2,4,5,2,Yes ofcourse I like tata motors company work.,Nothing
Spare Part Manager   (working remotely),,Full Time,Voice / Blended Department,06-Apr-23,5,5,5,5,5,5,5,Yes like tata motors work,Tata motors i not dislike
Kya Likhu Kuch Samjh Nhi Aa Raha Please Help Karo Naa App   (working remotely),,Part Time,IT & Information Security Department,06-May-23,3,2,2,4,1,2,2,Best 👍👍,No problem sir ji is not well
Senior Manager,Kochi,Full Time,Sales Support & Operations Department,08-Mar-23,3,2,3,4,4,3,4,Freedom to experiment and take initiatives,Lack of work life balance
Apprentice Trainee,Lucknow,Full Time,Quality Assurance and Testing Department,08-Mar-23,5,5,5,5,5,5,5,Good tata motors company..🥰,Shift change hoti rhthi h har week ye accha nhi ...
Trainee,"Ahmedabad, Gujarat",Part Time,Construction / Manufacturing Department,01-Jun-23,5,5,5,5,5,5,5,Good company,No dislikes for the company
Vmc Machine Operator,Pantnagar,Part Time,Operations Department,04-Jun-23,5,5,5,5,5,5,5,I like it tata motors pantnagar,I am only job trainee
Executive Engineer,Jamshedpur,Full Time,Engineering & Manufacturing Department,04-May-23,4,5,1,1,3,3,1,Work life balance,Salary
Salesman,"Muzaffarpur, Bihar",Full Time,Sales Support & Operations Department,04-Mar-23,5,5,5,5,5,5,3,Compny deciplin is very good . System process very good.,No any dislikes optuon
Accountant    (working remotely),,Full Time,Subject / Specialization Teacher Department,09-Apr-23,5,4,4,5,4,4,4,I like work culture,I don't like this job
Spare Parts Manager   (working remotely),,Full Time,Manager Department,02-Aug-23,5,5,5,5,5,5,5,Sapna motors is superb in all criteria,Nothing
Senior Manager,"Gurgaon/Gurugram, Haryana",Full Time,After Sales Service & Repair Department,05-Mar-23,5,5,4,3,4,5,3,"Culture driven company, supportive colleagues","Salary is less, progression  is slow"
Data Entry Operator,"Haridwar, Uttarakhand",Full Time,Back Office Department,03-Jun-23,5,5,5,5,5,4,5,I realy like this work,No
Senior Service Engineer Team Lead,"New Delhi, Delhi",Full Time,Engineering Department,01-Mar-23,4,5,5,5,4,4,3,Everything okk,Just okk working in tata motors
Digital Marketing Manager,"Bengaluru/Bangalore, Karnataka",Full Time,Marketing Department,23-Aug,1,1,1,1,1,1,1,Nothing,Everything from management to
Associated Vice President,"Chennai, Tamil Nadu",Full Time,Back Office Department,06-May-23,3,2,2,3,1,2,2,Nothing,"Unrealistic pressure, disrespect, insult , to many concal"
Data Entry Operator   (working remotely),,Part Time,Back Office Department,03-Jul-23,1,1,1,1,1,1,1,Yes,Yes I should need a job jo free of cost ho jo sahi job ho jis me salary Mila ga
Sales & Marketing,Jamshedpur,Full Time,Sales Support & Operations Department,09-Mar-23,5,2,2,5,5,5,2,"Good culture.
People driven",Lesser promotions and stagnancy
Supplier Quality Engineer,"Pune, Maharashtra",Full Time,Vendor quality assurance  Department,08-Jun-23,5,5,5,5,5,5,5,Working atmosphere is very good.,Nothing
Data Entry Clerk,"Allahabad/Prayagraj, Uttar Pradesh",Full Time,Accounting & Taxation Department,08-May-23,5,4,5,5,5,5,5,Tata motors is very good job.,No
Senior Sales Executive,"Salem, Tamil Nadu",Full Time,Marketing Department,05-Mar-23,5,4,4,3,4,4,4,Nice working environment,No dislike comments
Deputy General Manager,"Pune, Maharashtra",Full Time,Engineering & Manufacturing Department,06-Dec-22,5,5,5,4,5,5,4,"Culture , collaboration within teams 
Chance to learn new things , freedom to take decisions",Nothing
Quality Engineer,On Site,Full Time,Quality Assurance and Testing Department,03-Jul-23,5,5,5,5,5,5,5,Good experience in this company,Timing not fixed
Sr. Sales Trainer,Pune,Full Time,Sales Support & Operations Department,06-Feb-23,5,5,5,5,5,5,5,"Good Coordination In all hirarchies, Initiatives are always appreciable.",No all things are ok
Office Administrator,"Pune, Maharashtra",Contractual,Administration Department,04-May-23,5,5,4,5,4,3,4,Good working environment,I like this company most
Assistant Edp,"Greater Noida, Uttar Pradesh",Full Time,Retail & B2C Sales Department,04-May-23,4,4,3,4,4,4,4,Good,Salary not good enough
Senior Officer,Pune,Full Time,Banking Operations Department,03-Aug-23,5,5,4,4,5,4,4,Good Work culture,Nothing bad
Project Engineer (electrical),"Bikaner, Rajasthan",Full Time,Electrical engineering  Department,04-Jun-23,5,5,5,5,5,5,5,I like you tata power,No
Engineer   (working remotely),,Full Time,Engineering Department,04-Jun-23,5,5,5,5,5,5,5,Good skill and,Good skill
Senior Manager,"Pune, Maharashtra",Full Time,Pharmaceutical & Biotechnology Department,05-Dec-22,5,5,5,3,5,5,3,"Work culture is very flexible.
Nice environment, Good food.","Here some bosses are very bad and taking undue advantage of company, they wasting money of company for there ego."
Employee Relations Manager   (working remotely),,Full Time,Employee Relations Department,08-May-23,5,5,5,4,5,5,5,Yes liked,I am like best compny
Deputy General Manager,"Lucknow, Uttar Pradesh",Full Time,Quality Assurance and Testing Department,02-Jan-23,5,4,5,4,4,5,3,"Employe friendly,timely salary as well as great  skill development required for young people",Nothing great here nothing is bad here.
Senior Manager,Pune,Full Time,Accounting & Taxation Department,04-Feb-23,4,3,4,4,5,5,2,Job security,Due to larger size of organisation scope is limited
Diploma Apprentice Trainee (DAT)   (working remotely),,Full Time,"BFSI, Investments & Trading Department",08-Mar-23,5,5,5,5,4,5,3,Tata motors first preference to costomers satisfaction,No
Deputy Manager,Pune,Full Time,Engineering Department,04-May-23,5,5,5,3,5,5,4,Healthy work environment,Nothing
Technical Demonstrator,Jamshedpur,Full Time,Engineering & Manufacturing Department,08-Jan-23,4,4,4,3,3,4,3,Tata company is very good but I’m working under SLS,No comments
Sas Programmer,"Chennai, Tamil Nadu",Full Time,IT Security Department,01-Apr-23,5,5,5,5,5,5,5,All good for now,Nothing specific. All good for now
Accounts Manager,Jamshedpur,Part Time,Back Office Department,04-Mar-23,5,5,5,5,5,5,5,thay give all safest feature to work on his company,its salere was low
Executive   (working remotely),,Full Time,"Operations, Maintenance & Support Department",01-May-23,4,2,5,5,5,3,3,Top management decision,Lower Management
Lucknow,Lucknow,Full Time,"Operations, Maintenance & Support Department",04-Aug-23,5,5,5,4,3,4,4,Electrical maintenance work,Tata motors company Lucknow
Senior Manager,"Jamshedpur, Jharkhand",Full Time,Engineering & Manufacturing Department,08-Mar-23,4,4,5,4,5,5,4,Work life balance. Vast portfolio.,Culture is like person dependent
Senior Manager Finance,"Pune, Maharashtra",Full Time,Finance Department,06-Mar-23,4,3,3,3,5,3,2,Lot of employee benefits,Promotion and growth is slow
Quality Inspector,Pune,Full Time,Production & Manufacturing Department,02-Mar-23,5,3,5,2,5,5,1,Great work place. I really like it.,All the best
Junior Associate,Pune,Full Time,Finance Department,23-May,4,4,3,4,4,4,4,Management not well,Good Work Culture
Senior Manager Sales & Marketing,Mumbai,Full Time,Marketing Department,06-May-23,4,3,2,3,5,4,3,No learnings,I lie job tata mother electrical engineering
Electrical Engineer,Pune,Part Time,Engineering Department,03-Mar-23,4,5,5,5,5,5,5,I working electrical engineering design,Safety culture
Associate Engineer,Jamshedpur,Full Time,Central maintenance Department,09-Apr-23,5,3,4,3,4,5,3,Nothing is about to dislike,"It's a great company. Contract staff are also considered as company staff. In contract role dont think for being on roll, as they need degree and ""They are not wrong according to me""."
Senior Associate (logistics,"Mumbai, Maharashtra",Full Time,SCM & Logistics Department,01-Jul-22,4,5,1,3,5,2,1,"No promotion of contract staff. Contract staff will be in same position till they are in company. 
No change in designation and no change in work.
There is no dislikes more then the one said by me.",
Junior Engineer,"Bangalore Rural, Karnataka",Full Time,Engineering Department,07-Jul-23,4,4,4,4,4,4,4,Good company to begin witth,Nothing much. Everything looked good.
Floor Associate,Pune,Full Time,Material Handling Department,01-Dec-22,4,2,1,1,2,2,1,Need of many that the person work here.,Some type of work at a labour work.. not relivent type of work .
Team Member   (working remotely),,Full Time,"Operations, Maintenance & Support Department",23-Apr,5,5,4,5,4,4,3,Tata motors  job  location  others,Tata  motor
Temporary Worker,Pune,Full Time,Production & Manufacturing Department,01-Apr-23,4,4,4,3,4,4,1,"work, environment, safety, facilities",low salary
Sales Team Leader   (working remotely),,Full Time,Back Office Department,09-May-23,5,5,5,5,5,5,5,Team Leader.,Salary was not up to the mark.
Quality Engineer,"Sanand, Gujarat",Full Time,Production & Manufacturing Department,08-Jan-23,5,5,5,5,5,5,5,"Good environment for employees
And fully learning time and skill developer",No any
Manager,Jamshedpur,Full Time,Accounting & Taxation Department,23-Apr,4,4,5,5,4,4,5,Super place to work with great learning and full of challenges,"challenges, target"
Deputy General Manager,Lucknow,Full Time,Operations Department,22-Dec,3,3,3,4,4,3,3,Job security and learning scope,Work life balance and compensation not upto the mark
Manager Csr,Jamshedpur,Full Time,CSR & Sustainability Department,04-Jun-23,4,4,4,3,4,4,4,"Work culture
Benefits","Salary structure
Hired"
Professional FT,Pune,Contractual,"Operations, Maintenance & Support Department",08-Mar-23,5,5,5,4,4,5,4,"Learnings, Work Life balance,","Appraisal, Job security,"
Student   (working remotely),,Part Time,Life Insurance Department,04-Jul-23,5,5,5,5,5,5,5,It's very nice car,I like it
Assistant Work Manager,"Basti, Uttar Pradesh",Full Time,Automobile  Department,07-May-23,5,5,3,4,3,3,4,To Enhance our technical skills,Nothing
Production Engineer,Pune,Full Time,Engineering Department,02-May-23,3,3,3,3,3,3,5,culture is good,promotion is bad
Mechanical Engineer,Lucknow,Full Time,Other Department,02-Jul-23,4,4,4,4,4,4,4,Like Sikh aur ko sikna,Abhishek rathaur
Graduate Apprentice Trainee,Jamshedpur,Intern,"BFSI, Investments & Trading Department",01-May-23,4,5,5,5,3,5,3,Work culture of tata motors jamshedpur is very good . Management is very supportive. Even many projects is going on if u r lucky to getting a good project then definitely u have learning a lot of new things . But there no chance to extend your traning or after traning getting a job . But there is some chances based on your projects requirements company offer you to join in contract basic on third party ....Read More,Actually thera are some factors like based upon the performance company getting the opportunity to the trainee to take a job after completing the apprentice training. They are only offer to employees son.
Deputy Manager,Pune,Full Time,"Operations, Maintenance & Support Department",02-Jun-23,4,4,4,4,4,5,4,Growth and satisfaction.,Nothing dislike. But old employees should have respect.
Senior Manager,Pune,Full Time,Engineering Department,09-Mar-23,5,5,4,3,5,3,3,Work life balance and employee health benefit's,Work culture is not good for hardworking peoples
Senior Manager,"Mumbai, Maharashtra",Full Time,Product Manager Department,08-Feb-23,2,4,3,2,5,3,3,good work culture,lower compensation structure
Engineer Trainee   (working remotely),,Full Time,Engineering Department,23-Jun,4,4,4,3,4,4,4,Culture is very good at tata,Leave it has not good
18-20 Thasund   (working remotely),,Part Time,Banking Operations Department,07-Apr-23,4,4,4,4,4,4,4,Tata motors Pvt,I like tata motors
Senior Manager,"Pune, Maharashtra",Full Time,Operations Department,09-Jan-23,2,1,1,2,1,1,2,"1. Plant is situated in between the city, hence you will get the accomodation option near by the plant.","1. No work life balance. 
2. Worked for 16hrs. 
3. Systems are not in place."
Senior Customer Advisor,"Mirzapur, Uttar Pradesh",Full Time,Finance Department,07-Apr-23,5,5,5,5,5,5,5,Good service and good Sales Team,No Comment
Shift Incharge,Pantnagar,Full Time,SCM & Logistics Department,08-Apr-23,5,5,4,4,5,3,4,Everything I would like.,Nothing for dislike.
Technician Fitter   (working remotely),,Full Time,General Insurance Department,04-Jul-23,5,5,5,5,5,5,5,Every thing is good there.,Nothing
Senior Manager,"Pune, Maharashtra",Full Time,Product Management - Technology Department,08-Jan-23,5,5,4,4,5,4,3,Work life balance is best.,Promotion is not easy.
Test Engineer   (working remotely),,Full Time,Quality Assurance and Testing Department,06-Apr-23,5,5,5,5,5,5,5,Likes do not like you to know about,Likes do bha ghara chalo
Manufacturing Engineer,Pantnagar,Full Time,Engineering Department,01-Feb-23,5,5,5,4,5,5,4,Supervisor karna,Jo jis department main hai usko usi department main kaam nhi milta tha
Electronics Engineer   (working remotely),,Part Time,Engineering Department,04-Jun-23,5,4,3,4,3,3,3,Mera Life gold chanch ha,No
Senior Manager,Pune,Full Time,Research & Development Department,02-Jan-23,5,5,5,4,5,5,4,Freedom to work,"Not a single point to dislike, awesome organization to work"
