Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Det,Dharwad,,Procurement & Purchase Department,07-Sep-19,4,4,4,2,2,3,4,Everything good only pay scale is very bad salery not satisfied,Salery not satisfied
Field Engineer,,,,08-May-20,1,3,2,4,5,3,4,Yes,No reason
Product Supply,Warangal,,,01-Apr-21,5,5,5,5,5,5,5,Sir it is largest good company provideing huge jobs  for desire candidate,I need some job in your company I will give best service
Senior Associate,Pune,,Procurement & Purchase Department,19-May,4,4,3,3,1,1,3,Team work,Culture
Senior Manager,Lucknow,,Stores & Material Management Department,01-May-19,4,4,3,5,3,3,3,Overall is ok in Tata Motors,Career growth is very bad
Purchase Engineer,Pune,,Procurement & Purchase Department,03-Oct-19,5,5,3,5,5,2,5,company with world class quality products ... Colleges are very friendly and supportive....,"The work pressure is very high, sometimes. Work environment is very familiar....."
Associate Quality Engineer,Pune,,Quality Department,07-Dec-18,5,5,3,5,5,2,5,,
Service Advisor,Hispet,Full Time,,06-Aug-19,5,3,4,4,4,5,4,Good experience..,Excellent experience
Iti Apprentice,"Jamshedpur, Jharkhand",Full Time,Gearbox assembly 1150 Department,09-Aug-22,5,5,5,5,5,5,4,"Safety, behaviour between senior and junior",No
Industrial Trainee,Pannahar,Full Time,Chhinwara Department,03-Apr-19,5,5,5,5,5,5,1,Nice and good,Nating
Senior Manager Tata Motors Research Development,Jamshedpur,,ERC  Department,05-Apr-19,4,5,3,5,4,4,4,overall i satisfied with the culture and work life balance in TML...,....
Team Leader,Jamnagar,,Sales  Department,02-Mar-18,5,3,3,5,4,5,4,Excellent,Poor dealer's management
Sales Executive,"Aurangabad, Maharashtra",,Marketing Department,09-May-23,1,2,4,3,4,5,3,Good experience and work all team good,Service
Tem Member,"Rudrapur,pantnagar",,Engineering Department,03-Apr-19,4,5,4,4,4,4,4,I proud tata motors.and here culture.,Job not secure here.
Line Producer,Ahmedabad,,,04-Mar-20,5,5,5,4,1,5,5,Yesy,I love my job
Job Trainee,Lucknow,,"Operations, Maintenance & Support Department",20-Jan,5,5,4,1,5,5,5,,
Service Supervisor,Ratlam,,"Operations, Maintenance & Support Department",09-Jul-19,5,5,5,5,5,5,5,,
Crm Executive,Booti More Ranchi,,Crm mis executive Department,06-Jun-19,5,5,5,5,5,5,4,Working with learning,Career growth
Project Engineer,Pune,,Engineering Department,22-Apr,5,5,5,5,5,5,3,"Culture, leaves, holidays",Work pressure
I Need A Job.. Because I Have No Job,Hapur,,Tata motors Department,04-Jul-20,1,1,1,1,1,1,1,No Experian I am freshar,HiGood
Field Sales Executive,Vijayawada,,BD / Pre Sales Department,03-Jun-19,5,5,5,5,5,5,5,Nothing,Every thing in Tata Motors is good as I have rated above.
SENIOR MANAGER ADMIN. & COMMON SERVICES,,,Administration Department,05-Apr-19,5,5,4,5,5,5,4,The career growth has been stagnated in Tata Mitors because of new OE structure implemented & some politics also prevails.,"Here we have N numbers of things there is no restriction to learn & they will ready ti share our knowledge if we attentive, many facilities to learn."
Assistant Manager Service,Guntur,,,09-Sep-19,3,4,3,3,3,3,3,Working environment,Working environment
Electrical Maintenance,Ahmedabad,,,08-Sep-19,4,4,3,3,3,3,3,,
Calibration Engineer,Pimpri,,,02-Apr-19,4,3,4,3,3,4,3,,
Insurance Excutive Officers,Vasai,,Corporate Communication Department,01-Dec-19,4,3,4,3,3,4,3,,
Raja Motors  Ranchi JHARKHAND,Ranchi,,Sarvice advisor Department,03-Oct-19,5,5,4,4,5,5,5,Very good,Service adivsior
Sales Executive,Ahmedabad,,Retail & B2C Sales Department,07-Sep-19,4,4,5,4,4,4,3,Is is very strong car,There system are use old model
Technician,Kolkata,,Technician Department,06-Aug-19,3,4,5,4,4,4,3,Nothing special,Nothing special
Production Executive,Jamshedpur,,"Operations, Maintenance & Support Department",08-Jun-19,3,3,3,2,4,3,4,"It,s good compamy",At Jamshedpur plant people are quite helpful
Quality Inspector,Uttrakhand,,Qualty Department,05-Dec-19,4,3,3,3,3,3,3,"Nothing.
1. No defined process
2. Boot licking culture
3. Bad Politics
4. Very good senior leadership but unfortunately people immediately under them aren't effective 
5. Unorganised work culture
6. No respect for hard-working people.
7. No technical growth no upgradation",I like tata motors company.
Diploma Apprentice Trainee,Pantnagar,,Supply chain management  Department,02-Oct-19,3,4,4,4,5,5,5,Quality,"I AM WORKING IN PRAKHER MOTORS 
FARRUKHABAD"
Manager,Jamshedpur,,Engineering Department,02-Mar-19,1,3,3,4,3,4,3,GOOD,So bad experiance all tata motors are hiring contract employee when there is no production they give break to contract employee so bad experiance third class company very bad
Trainee,Gorakhpur,,,03-Sep-19,5,3,3,4,3,4,3,They do not give assurity for job to employees,
Accountant,LUCKNOW,,,05-Apr-19,4,2,1,3,3,1,1,,
Quality Engineer,Pune,,Production & Manufacturing Department,02-Aug-19,1,5,5,5,5,5,5,,
Electrical Engineer,"Shivpuri, M.p",Intern,Construction Engineering Department,02-Jul-19,5,5,5,5,5,5,5,Everything was good,Nothing
A S M,Murwara (Katni),,,05-Mar-19,3,5,4,5,5,4,5,Tata is India's marketing challenging company. so I want to work with Tata Group and Company. I want to give a good response.,Nothing else.
Receptionist,Punchkula,,Reception Department,07-Mar-21,4,4,5,4,4,4,5,"Company policies are good, appraisals are fair and they give good salary hike and bonus every year.good work environment and culture.",Nothing to be dislike
Cre,Vashi,,Collection executive  Department,06-Jun-19,5,5,5,5,5,5,5,Well culture to work,Nothing
Senior Purchase Executive,Pune,,Procurement & Purchase Department,09-Aug-18,4,3,4,4,3,4,3,"this is the one of the old automobile company in India, this company adopt all new technology and idea for better innovation. tata motors are always think about customers satisfaction with low price product but with higher performance.i really happy with my work. i has a very good team which has a very much potential and knowledge. all are so cooperative.especially the seniors are give more support, i learn new things here .overall its very good company....Read More",No growth and no salery appraisal rating is very poor
Quality Engineer,Pimpri,,QA Department,07-Oct-19,5,4,5,4,1,4,3,No salery and no growth,"The company's ethics and moral values to their employee is very nice. Lots of things to learn as an intern. Working environment is awesome to join anyone in the company. Many facilities are provided by the company during such as transportation, cheaper lodging and food. Personal guides are also recommended for the group."
Executive Engineer,Pantnagar,,Production & Manufacturing Department,19-Dec,4,4,5,4,1,4,3,"There is no on job for fresher from outside the campus of college, the guide doesn't have time for their trainee.",I want to job in Tata company because this company is very best another company.... Thank you
Intern,Jamshedpur,,,09-Jul-19,5,4,3,4,3,3,2,I have no negative thoughts about this company,Yes I like tata
Assistant Manager/manager-(nontechnical),Vapi,,,08-Apr-19,1,5,4,4,5,5,5,"Tata company 
 cantroct base",
Tata Power Solar 20 Mw Technician,Bangalore,,Technician Department,04-Jun-19,3,5,4,4,5,5,4,,
Senior Sales Executive,New Delhi,Full Time,,03-Feb-19,5,5,5,5,5,5,5,"this fantastic job tata is very big group
i am happy with tata motors",nothing to dislike
Office Assistant,Dibrugarh,Full Time,Sales Department,07-Apr-22,4,4,4,4,4,4,4,"Tata motors company is very good, management company policy work satisfaction.. everything is ok",Average
Workman/foreman/technician,Pantnagar,Full Time,,09-Jan-21,4,4,4,4,2,4,1,Job not secure,My first company is Tata Motors.and wonderful experience and freedom employee is Tata Motors
Iti Welder,,,Technician Department,05-Mar-20,5,5,4,5,5,5,5,No,Tata motors is best organisation for skill developement & full knowledge automobile sector.
Apprentice,,,,02-May-19,4,5,4,5,5,5,5,no any issues.,Good environment
Central Quality Engineer,LUCKNOW,,Production & Manufacturing Department,01-Mar-19,5,4,5,4,4,5,4,Nothing as such,I like the tata motors work in planning of productions and maintain lower leval work
Team Manager,Jamshedpur,,Sales Support & Operations Department,05-Jun-23,5,5,5,5,5,5,5,Work environment and work life is good with little politics.,Ego.
Stoer Assistant,Pune,,Financial  Department,03-Aug-19,4,5,5,5,5,5,5,"Work with team, job security, carrier growth, work environment good, work life balance.",Personal growth is slow
Graduate Engineer Trainee,Jamshedpur,,"Operations, Maintenance & Support Department",03-Apr-19,4,5,4,5,5,5,4,,
Production Executive,Pantnagar Uttrakhand,,"Operations, Maintenance & Support Department",09-Feb-19,5,4,5,4,5,4,4,,
